Protein,p-value,BV- Avg Count,BV- Avg Transformed Abundance,BV- StDev,BV+ Avg Count,BV+ Avg Transformed Abundance,BV+ StDev,delta
"Keratin, type II cytoskeletal 4",0.018917861,315.8888889,0.046751044,0.02833892,303.7,0.064758689,0.032812226,-12.18888889
Desmoplakin,0.018917861,223.5555556,0.032429078,0.008361598,210.7,0.041985628,0.019550777,-12.85555556
Beta-2-glycoprotein 1,0.01965004,1.777777778,0.000278669,0.000234135,0.8,0.00017215,0.000269549,-0.977777778
Cathepsin D,0.020762274,1.111111111,0.000171883,0.000239876,0.35,6.74E-05,0.000148203,-0.761111111
60S acidic ribosomal protein P0-like,0.020762274,0.111111111,1.65E-05,4.81E-05,0.65,0.000160807,0.000330362,0.538888889
"Keratin, type II cuticular Hb4",0.020762274,0.111111111,2.01E-05,5.84E-05,0.6,0.000131617,0.000241282,0.488888889
"Electron transfer flavoprotein subunit alpha, mitochondrial",0.021021353,0.777777778,0.000119962,0.00010567,0.3,8.96E-05,0.000186259,-0.477777778
Beta-centractin,0.021161659,0.333333333,4.60E-05,6.74E-05,0.1,1.55E-05,4.74E-05,-0.233333333
Alpha-centractin,0.021161659,0.333333333,4.60E-05,6.74E-05,0.1,1.55E-05,4.74E-05,-0.233333333
40S ribosomal protein S10,0.021161659,0.333333333,4.65E-05,6.84E-05,0.1,1.48E-05,4.51E-05,-0.233333333
Septin-7,0.021161659,0.333333333,4.96E-05,7.31E-05,0.1,1.73E-05,5.27E-05,-0.233333333
"Spectrin alpha chain, erythrocytic 1",0.021161659,7,0.00107132,0.002248174,2.05,0.000500882,0.001981235,-4.95
Apolipoprotein A-IV,0.021161659,2.111111111,0.000321468,0.00058199,0.65,0.000142192,0.000482689,-1.461111111
Ankyrin-1,0.021161659,3,0.000453418,0.000833859,0.85,0.000210159,0.000880256,-2.15
Clusterin,0.02141612,5.222222222,0.000776824,0.000966917,1.45,0.000269014,0.000478898,-3.772222222
Alpha-actinin-3,0.021517329,2.333333333,0.000362627,0.000175505,1.25,0.000240038,0.000217654,-1.083333333
Eosinophil cationic protein,0.021729188,1.777777778,0.000284031,0.000290416,0.6,0.000130631,0.000174389,-1.177777778
40S ribosomal protein S7,0.021798102,1.666666667,0.000246039,0.00026657,0.9,0.000155666,0.000290889,-0.766666667
Guanine nucleotide-binding protein subunit alpha-12,0.021986088,1.333333333,0.00020029,0.000124883,0.65,0.000137498,0.000178421,-0.683333333
ATP-dependent RNA helicase DDX3X,0.021987015,2,0.000292876,0.000325328,1.9,0.000419073,0.000254631,-0.1
Carbonyl reductase [NADPH] 3,0.022117881,3.888888889,0.000573573,0.000178878,2.1,0.000449335,0.000404866,-1.788888889
"Keratin, type II cytoskeletal 7",0.022117881,4,0.0006107,0.000897857,3.45,0.000808899,0.000713278,-0.55
Immunoglobulin kappa constant,0.022248917,73.77777778,0.011113078,0.002978595,64.85,0.015364159,0.009276383,-8.927777778
Prelamin-A/C,0.022248917,21.44444444,0.003224312,0.001428243,11.5,0.002249936,0.001654134,-9.944444444
"ATP synthase subunit alpha, mitochondrial",0.022248917,8,0.001230691,0.000975602,3.15,0.000766015,0.000659525,-4.85
Core histone macro-H2A.1,0.022248917,18.88888889,0.002892176,0.001350049,19.15,0.004400463,0.002806771,0.261111111
Clathrin heavy chain 1,0.022248917,6.222222222,0.000918728,0.000396535,6.1,0.001300298,0.000691891,-0.122222222
Endonuclease domain-containing 1 protein,0.022488824,0,0,0,0.2,4.59E-05,9.51E-05,0.2
Ganglioside GM2 activator,0.022488824,0,0,0,0.3,5.84E-05,0.000127699,0.3
Gamma-glutamylcyclotransferase,0.022488824,0,0,0,0.25,8.11E-05,0.000186246,0.25
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,0.022488824,0,0,0,0.2,4.68E-05,0.000100611,0.2
Cytosolic 5'-nucleotidase 3A,0.022488824,0,0,0,0.3,6.74E-05,0.000168577,0.3
Trefoil factor 3,0.022488824,0,0,0,0.6,0.000107898,0.000315855,0.6
Annexin A9,0.022488824,0,0,0,0.4,6.33E-05,0.00013677,0.4
Testis-expressed basic protein 1,0.022488824,0,0,0,0.2,3.51E-05,7.31E-05,0.2
Immunoglobulin heavy variable 5-51,0.022520797,0.888888889,0.000136398,0.000186944,0.35,0.000105148,0.000303677,-0.538888889
Guanine nucleotide-binding protein G(k) subunit alpha,0.023693733,1.333333333,0.00020029,0.000124883,0.7,0.000151621,0.000168657,-0.633333333
Eukaryotic translation initiation factor 3 subunit A,0.025242257,0.222222222,3.11E-05,6.05E-05,0.05,7.01E-06,3.09E-05,-0.172222222
Protein AHNAK2,0.025242257,0.222222222,3.19E-05,6.23E-05,0.05,7.01E-06,3.09E-05,-0.172222222
Protocadherin Fat 1,0.025242257,0.333333333,5.10E-05,0.000106072,0.05,1.20E-05,5.31E-05,-0.283333333
Interleukin-1 receptor-associated kinase 4,0.025242257,0.222222222,3.28E-05,6.33E-05,0.05,7.01E-06,3.09E-05,-0.172222222
Putative 40S ribosomal protein S10-like,0.025242257,0.222222222,3.32E-05,6.41E-05,0.05,7.80E-06,3.44E-05,-0.172222222
Immunoglobulin heavy variable 1-2,0.025242257,0.444444444,7.75E-05,0.000176064,0.1,1.74E-05,7.67E-05,-0.344444444
Destrin,0.025253465,3.555555556,0.000514264,0.000273984,1.85,0.000362722,0.000333092,-1.705555556
Eukaryotic translation initiation factor 2 subunit 1,0.025416789,0.222222222,2.67E-05,7.77E-05,0.55,0.000107214,0.000163594,0.327777778
Immunoglobulin heavy variable 3-33,0.025416789,0.333333333,5.21E-05,0.000151515,0.9,0.000237174,0.000372608,0.566666667
Immunoglobulin heavy variable 3-30-3,0.025416789,0.333333333,5.21E-05,0.000151515,0.9,0.000237174,0.000372608,0.566666667
Alpha-1-acid glycoprotein 1,0.025678413,4.555555556,0.00068194,0.0009513,5,0.001143285,0.001011851,0.444444444
Proteasome subunit alpha type-5,0.0257726,1.555555556,0.000238326,0.000115728,1.6,0.000353266,0.000235063,0.044444444
Immunoglobulin kappa light chain,0.026061805,46.22222222,0.006955606,0.00211781,44.5,0.010627878,0.006603988,-1.722222222
Ras-related protein Rab-2B,0.026916861,0.444444444,6.87E-05,0.000109524,0.1,2.90E-05,8.93E-05,-0.344444444
Immunoglobulin kappa variable 2-40,0.028085018,1.111111111,0.000171059,0.000224549,1.7,0.000444622,0.000485193,0.588888889
40S ribosomal protein SA,0.028507939,3.666666667,0.000547572,0.000295512,1.8,0.000343614,0.000340725,-1.866666667
Kallikrein-10,0.029851128,5.555555556,0.000842008,0.000710914,6.95,0.001553027,0.001261364,1.394444444
Heterogeneous nuclear ribonucleoprotein A1,0.030247715,3.111111111,0.000477272,0.000169558,1.55,0.000360352,0.000292002,-1.561111111
Beta-enolase,0.030390645,9.555555556,0.001417508,0.000837087,4.8,0.000957195,0.000636145,-4.755555556
Gamma-enolase,0.030390645,8,0.001172106,0.000769799,3.7,0.000726204,0.00050963,-4.3
"Keratin, type II cytoskeletal 72",0.030406531,38,0.005537425,0.002101467,27.5,0.005976214,0.008912441,-10.5
Vasodilator-stimulated phosphoprotein,0.030623583,1.888888889,0.000296169,0.000357806,0.5,0.000112067,0.000165778,-1.388888889
L-lactate dehydrogenase B chain,0.030705667,3.222222222,0.000470748,0.000514418,1.2,0.000265443,0.000445366,-2.022222222
Immunoglobulin heavy variable 3-30-5,0.030915193,0.333333333,5.21E-05,0.000151515,0.7,0.000193738,0.000327097,0.366666667
"Cytochrome b-c1 complex subunit 1, mitochondrial",0.030915193,0.777777778,0.000125645,0.000171269,0.25,5.00E-05,0.000107837,-0.527777778
60S ribosomal protein L9,0.033233809,1.222222222,0.000169293,0.000216303,0.35,6.44E-05,0.000117134,-0.872222222
26S proteasome non-ATPase regulatory subunit 6,0.033233809,1,0.000141922,0.000173956,0.3,5.91E-05,0.000108038,-0.7
Vacuolar protein sorting-associated protein 35,0.033727763,0.222222222,3.11E-05,6.05E-05,0.05,1.37E-05,6.04E-05,-0.172222222
Filamin-B,0.033727763,0.222222222,3.07E-05,5.98E-05,0.1,1.40E-05,6.19E-05,-0.122222222
GTPase KRas,0.033727763,0.222222222,2.97E-05,5.76E-05,0.1,1.56E-05,6.89E-05,-0.122222222
GTPase HRas,0.033727763,0.222222222,2.97E-05,5.76E-05,0.1,1.56E-05,6.89E-05,-0.122222222
GTPase NRas,0.033727763,0.222222222,2.97E-05,5.76E-05,0.1,1.56E-05,6.89E-05,-0.122222222
"Cytochrome c oxidase subunit 5B, mitochondrial",0.033727763,0.222222222,3.19E-05,6.23E-05,0.1,2.17E-05,9.57E-05,-0.122222222
"Dihydrolipoyl dehydrogenase, mitochondrial",0.033727763,0.333333333,4.22E-05,8.48E-05,0.05,1.22E-05,5.38E-05,-0.283333333
Ubiquitin-conjugating enzyme E2 D3,0.033727763,0.222222222,2.88E-05,5.57E-05,0.1,2.25E-05,9.92E-05,-0.122222222
TRPM8 channel-associated factor 2,0.033727763,0.222222222,3.18E-05,6.13E-05,0.05,7.80E-06,3.44E-05,-0.172222222
Apolipoprotein B receptor,0.033727763,0.222222222,3.49E-05,6.73E-05,0.05,9.69E-06,4.28E-05,-0.172222222
D-dopachrome decarboxylase-like protein,0.033727763,0.444444444,6.83E-05,0.00015299,0.1,2.50E-05,0.000110318,-0.344444444
D-dopachrome decarboxylase,0.033727763,0.444444444,6.83E-05,0.00015299,0.1,2.50E-05,0.000110318,-0.344444444
Adenylate kinase isoenzyme 1,0.033727763,0.444444444,6.62E-05,0.000144712,0.4,9.99E-05,0.000441044,-0.044444444
Complement factor H-related protein 1,0.033727763,0.333333333,4.93E-05,0.000101771,0.1,2.10E-05,9.25E-05,-0.233333333
Zinc finger protein 770,0.033727763,0.222222222,3.48E-05,6.71E-05,0.05,8.52E-06,3.76E-05,-0.172222222
Immunoglobulin lambda variable 2-11,0.033727763,0.333333333,5.10E-05,0.000106072,0.1,2.50E-05,0.000110318,-0.233333333
Immunoglobulin lambda variable 2-8,0.033727763,0.333333333,5.10E-05,0.000106072,0.1,2.50E-05,0.000110318,-0.233333333
THO complex subunit 4,0.033727763,0.222222222,3.63E-05,7.04E-05,0.05,9.46E-06,4.18E-05,-0.172222222
Patched domain-containing protein 4,0.033727763,0.222222222,3.28E-05,6.33E-05,0.05,8.81E-06,3.89E-05,-0.172222222
Calpain-2 catalytic subunit,0.033727763,0.222222222,3.28E-05,6.33E-05,0.05,1.18E-05,5.21E-05,-0.172222222
"Inositol 1,4,5-trisphosphate receptor type 1",0.033727763,0.222222222,3.74E-05,7.23E-05,0.05,1.38E-05,6.08E-05,-0.172222222
Heterogeneous nuclear ribonucleoprotein C-like 3,0.033923828,0.333333333,5.12E-05,7.46E-05,0.15,3.71E-05,0.000126008,-0.183333333
Heterogeneous nuclear ribonucleoprotein C-like 1,0.033923828,0.333333333,5.12E-05,7.46E-05,0.15,3.71E-05,0.000126008,-0.183333333
Alpha-1-antichymotrypsin,0.033923828,1.777777778,0.000264698,0.000528506,1.3,0.000304391,0.000973537,-0.477777778
Cystatin-C,0.033923828,0.333333333,4.83E-05,7.03E-05,0.4,6.94E-05,0.000272416,0.066666667
"Aspartate aminotransferase, mitochondrial",0.033991947,1.111111111,0.000172983,0.000260299,0.5,0.000159617,0.000392048,-0.611111111
Elongation factor 1-delta,0.034365074,5.777777778,0.000859001,0.000507724,3.05,0.00057942,0.000600973,-2.727777778
Ras GTPase-activating-like protein IQGAP1,0.034365074,4.333333333,0.000637435,0.000450761,2.15,0.000413553,0.000389339,-2.183333333
Phosphoglucomutase-2,0.035054246,1.444444444,0.000206401,0.000151797,0.75,0.000137464,0.000167658,-0.694444444
F-actin-capping protein subunit alpha-1,0.035265602,4.222222222,0.000611989,0.000221688,2.1,0.000450308,0.000317685,-2.122222222
14-3-3 protein sigma,0.035334942,83.55555556,0.012473093,0.003395955,70,0.014725583,0.005741988,-13.55555556
Immunoglobulin heavy constant gamma 3,0.035334942,49.66666667,0.007545502,0.004231619,26.45,0.00576625,0.004836796,-23.21666667
Fructose-bisphosphate aldolase A,0.035334942,46,0.006911225,0.003228253,25.35,0.005264035,0.003307328,-20.65
Immunoglobulin kappa variable 3-15,0.035334942,5.111111111,0.000781163,0.000218769,5.05,0.001156556,0.00067955,-0.061111111
Transmembrane emp24 domain-containing protein 9,0.035531691,0.888888889,0.000133871,0.000163525,1.4,0.000321653,0.000390868,0.511111111
Glucose-6-phosphate 1-dehydrogenase,0.036210504,0.444444444,6.67E-05,0.000105112,1.5,0.000337013,0.000432686,1.055555556
Tumor protein D54,0.036508595,0.555555556,7.50E-05,0.000113267,0.15,3.01E-05,7.37E-05,-0.405555556
Proteasome subunit alpha type-7,0.037511353,0.111111111,1.34E-05,3.89E-05,0.65,0.00018384,0.000318261,0.538888889
Proteasome subunit alpha-type 8,0.037511353,0.111111111,1.34E-05,3.89E-05,0.6,0.000170163,0.000281762,0.488888889
Cathepsin L2,0.037511353,0.111111111,1.55E-05,4.50E-05,1,0.000213889,0.000375027,0.888888889
Desmoglein-4,0.037511353,0.111111111,1.65E-05,4.81E-05,0.5,8.72E-05,0.000141812,0.388888889
CD177 antigen,0.037511353,0.111111111,1.85E-05,5.39E-05,0.6,0.000103817,0.000198542,0.488888889
Protein S100-P,0.038347614,2.888888889,0.000463132,0.000871192,4.15,0.001078794,0.001349451,1.261111111
Peptidyl-prolyl cis-trans isomerase B,0.038644487,2.444444444,0.00036107,0.000244636,1.15,0.000246188,0.000255096,-1.294444444
Proliferation-associated protein 2G4,0.038924759,1.444444444,0.000199822,0.00023565,0.6,0.000100629,0.000184272,-0.844444444
Small proline-rich protein 2B,0.039755856,5.888888889,0.000894014,0.00090308,2.45,0.000439805,0.000571137,-3.438888889
Small proline-rich protein 2D,0.039755856,6.222222222,0.00094944,0.000985413,2.4,0.000431121,0.000557441,-3.822222222
Ras-related protein Rab-11A,0.040242064,1.666666667,0.000259172,0.000235742,2.05,0.000437076,0.000368432,0.383333333
"Actin, alpha cardiac muscle 1",0.040900226,140.3333333,0.021201886,0.005929178,85.5,0.018632553,0.006902859,-54.83333333
Lactotransferrin,0.040900226,52.66666667,0.008255057,0.00945743,58.4,0.012509142,0.011339726,5.733333333
Histone H2A type 2-B,0.040900226,23.88888889,0.003633647,0.001518062,22.45,0.005236341,0.00315016,-1.438888889
Cysteine-rich secretory protein 2,0.040944315,0.666666667,0.00010853,0.000171629,1,0.000256855,0.000316296,0.333333333
"Cytochrome b-c1 complex subunit 2, mitochondrial",0.041380193,1,0.000158423,0.000168028,0.4,0.000115251,0.000233913,-0.6
EH domain-containing protein 1,0.041380193,0.666666667,0.000105429,0.000112028,0.35,5.69E-05,0.000111546,-0.316666667
Putative Ras-related protein Rab-1C,0.04417723,0.666666667,8.95E-05,0.000140624,0.75,0.000173104,0.000171448,0.083333333
"3-ketoacyl-CoA thiolase, peroxisomal",0.044432259,0,0,0,0.15,2.97E-05,7.35E-05,0.15
Plakophilin-4,0.044432259,0,0,0,0.2,4.67E-05,0.000122833,0.2
Dipeptidyl peptidase 4,0.044432259,0,0,0,0.15,5.54E-05,0.000154329,0.15
Glyoxalase domain-containing protein 4,0.044432259,0,0,0,0.25,6.20E-05,0.000157569,0.25
Regulator of telomere elongation helicase 1,0.044432259,0,0,0,0.15,3.62E-05,8.79E-05,0.15
Ribonuclease T2,0.044432259,0,0,0,0.35,7.89E-05,0.000196033,0.35
"Glutathione reductase, mitochondrial",0.044432259,0,0,0,0.2,4.49E-05,0.00010917,0.2
Forkhead box protein M1,0.044432259,0,0,0,0.15,3.50E-05,8.90E-05,0.15
Versican core protein,0.044432259,0,0,0,0.35,7.96E-05,0.000203677,0.35
Proteasome subunit beta type-5,0.044432259,0,0,0,0.15,3.24E-05,7.92E-05,0.15
Hexokinase-3,0.044432259,0,0,0,0.15,3.31E-05,8.02E-05,0.15
Ras-related protein Rap-1b-like protein,0.044432259,0,0,0,0.15,3.45E-05,8.33E-05,0.15
Myeloid leukemia factor 2,0.044432259,0,0,0,0.3,4.69E-05,0.000121832,0.3
Secretoglobin family 1D member 2,0.044432259,0,0,0,0.2,3.85E-05,9.89E-05,0.2
Adenine phosphoribosyltransferase,0.044432259,0,0,0,0.15,2.58E-05,6.24E-05,0.15
Immunoglobulin heavy variable 3-73,0.044432259,0,0,0,0.2,4.83E-05,0.000125051,0.2
Myosin-7,0.044432259,0,0,0,0.15,3.47E-05,8.37E-05,0.15
"Heat shock protein 75 kDa, mitochondrial",0.044719772,0.888888889,0.000137467,9.28E-05,1,0.000218771,0.000197109,0.111111111
"Creatine kinase U-type, mitochondrial",0.045876905,1.111111111,0.000154381,0.000163692,0.5,0.000107801,0.000216952,-0.611111111
Small proline-rich protein 2A,0.046184374,4.777777778,0.000721482,0.000662046,2.4,0.00043201,0.000560773,-2.377777778
Small proline-rich protein 2G,0.046184374,4.777777778,0.000721482,0.000662046,2.35,0.000423326,0.00054669,-2.427777778
Erythrocyte band 7 integral membrane protein,0.046750661,3.333333333,0.000518956,0.000583104,3.5,0.000887178,0.000805392,0.166666667
Plakophilin-3,0.04713605,18.66666667,0.002680186,0.001485738,10.8,0.002039537,0.001877548,-7.866666667
"Actin, alpha skeletal muscle",0.047156329,139.1111111,0.021028375,0.00598927,83.3,0.018164637,0.006726775,-55.81111111
Myosin-14,0.047156329,13.55555556,0.002036502,0.000962341,7.5,0.001523289,0.001246149,-6.055555556
Plakophilin-1,0.047156329,36.66666667,0.005325493,0.002455789,36.1,0.007216409,0.004190604,-0.566666667
Protein S100-A12,0.047156329,11.66666667,0.001794645,0.0010988,17.55,0.003986494,0.003512302,5.883333333
Alpha-2-HS-glycoprotein,0.047339936,2.444444444,0.000369212,0.000488924,0.8,0.000179736,0.000381854,-1.644444444
"Arachidonate 12-lipoxygenase, 12S-type",0.048792874,4.555555556,0.000646658,0.000680548,6.75,0.001750537,0.002428351,2.194444444
Vitronectin,0.048903429,1,0.000153358,0.000198797,0.65,0.000140172,0.000310736,-0.35
Ly6/PLAUR domain-containing protein 3,0.049351487,4.111111111,0.000606275,0.0004797,2.05,0.000385158,0.000380692,-2.061111111
Katanin p60 ATPase-containing subunit A-like 2,0.049709597,0.333333333,4.88E-05,0.000105508,0.55,0.00011442,0.000165846,0.216666667
Nicotinamide phosphoribosyltransferase,0.050350205,7.222222222,0.001094812,0.000954287,2.75,0.00058543,0.000538164,-4.472222222
Thymidine phosphorylase,0.051480079,3.777777778,0.000573164,0.00071221,1.1,0.000204694,0.000216078,-2.677777778
Fibrinogen alpha chain,0.051541691,18.55555556,0.002812345,0.003722807,4.9,0.001094527,0.001730653,-13.65555556
Ras-related protein Rab-11B,0.053395962,1.666666667,0.000259172,0.000235742,2,0.000426607,0.000371847,0.333333333
Chitotriosidase-1,0.053546889,0.444444444,7.40E-05,0.000215368,0.55,0.000123581,0.000206238,0.105555556
60S ribosomal protein L22,0.053939893,1.888888889,0.000281149,0.000160747,2.05,0.000463957,0.000332006,0.161111111
Protein-glutamine gamma-glutamyltransferase K,0.054157272,10.44444444,0.001548903,0.000741861,10.35,0.002482367,0.00231907,-0.094444444
Immunoglobulin heavy variable 3-64D,0.054157272,4.555555556,0.000692434,0.000257684,4.7,0.001097543,0.000665927,0.144444444
Immunoglobulin heavy variable 3-72,0.054157272,4.555555556,0.000692434,0.000257684,4.7,0.001099277,0.000679039,0.144444444
Apolipoprotein D,0.054669276,0.222222222,3.70E-05,0.000107696,0.45,0.000124157,0.00020535,0.227777778
Translationally-controlled tumor protein,0.055124384,1,0.000148728,0.000196022,1.8,0.000343431,0.00040466,0.8
N-acetyl-D-glucosamine kinase,0.056524657,1.888888889,0.000272389,0.000276279,0.75,0.000175272,0.000252129,-1.138888889
40S ribosomal protein S3,0.057167312,3,0.000445966,0.000254942,1.65,0.000335901,0.000252605,-1.35
Putative tubulin-like protein alpha-4B,0.057551908,1,0.000150758,0.000291388,0.9,0.000203771,0.000274686,-0.1
BPI fold-containing family B member 1,0.059272746,1.222222222,0.000183969,0.000252267,2.45,0.000514272,0.00070243,1.227777778
Cathelicidin antimicrobial peptide,0.060657502,2.777777778,0.000430294,0.000366279,3.85,0.000852815,0.000832237,1.072222222
Transmembrane protease serine 11E,0.061863793,7.777777778,0.00119904,0.000803176,7.85,0.001606616,0.000967869,0.072222222
Alpha-actinin-4,0.06193324,24.88888889,0.003709271,0.001699191,13.45,0.002701446,0.001804785,-11.43888889
Immunoglobulin heavy variable 3-15,0.06193324,2.555555556,0.000394558,0.000228929,2.75,0.000646959,0.000515414,0.194444444
NADP-dependent malic enzyme,0.062755106,0.888888889,0.000129407,0.000126807,0.5,9.04E-05,0.000156703,-0.388888889
60S acidic ribosomal protein P1,0.062755106,1.777777778,0.000271166,0.000464747,0.65,0.000138548,0.000262148,-1.127777778
Immunoglobulin heavy variable 3-66,0.065318192,0.222222222,3.47E-05,0.000101015,0.65,0.000146881,0.000300515,0.427777778
Vesicle-trafficking protein SEC22b,0.065804514,0.444444444,6.08E-05,9.18E-05,0.2,3.58E-05,9.60E-05,-0.244444444
Flavin reductase (NADPH),0.065884008,4.777777778,0.000716448,0.00110903,1.5,0.000355062,0.001168842,-3.277777778
Histone H3.3,0.065933147,12.22222222,0.001833462,0.001482802,6.15,0.001268868,0.000821745,-6.072222222
Protein POF1B,0.070507487,5.444444444,0.000799091,0.000475619,9.6,0.001772043,0.002274842,4.155555556
Protein S100-A8,0.070605468,125.5555556,0.018712982,0.008626871,67.7,0.01546752,0.011696197,-57.85555556
Histone H2AX,0.070605468,23.77777778,0.003608749,0.001388926,22.45,0.00523724,0.003131821,-1.327777778
Immunoglobulin heavy constant gamma 2,0.070605468,51.66666667,0.007850304,0.004763807,32.35,0.007058335,0.007442945,-19.31666667
Immunoglobulin kappa variable 2-28,0.071078966,1.777777778,0.000271589,0.000321123,2.1,0.000519551,0.000497689,0.322222222
Leucine-rich alpha-2-glycoprotein,0.077768926,1.444444444,0.000230721,0.000297125,0.45,8.85E-05,0.000119105,-0.994444444
"Myosin light chain 1/3, skeletal muscle isoform",0.077979958,1.444444444,0.000224882,0.000181962,1.75,0.000350595,0.000310923,0.305555556
Myosin light chain 3,0.077979958,1.444444444,0.000224882,0.000181962,1.75,0.000350595,0.000310923,0.305555556
Tubulin alpha chain-like 3,0.078146118,0.333333333,5.33E-05,0.0001121,0.55,0.000124733,0.000185568,0.216666667
"V-type proton ATPase subunit B, brain isoform",0.078856038,0.444444444,6.26E-05,0.000101825,0.15,3.00E-05,7.52E-05,-0.294444444
Cytosolic phospholipase A2 beta,0.078856038,0.111111111,1.34E-05,3.89E-05,0.45,8.01E-05,0.000149855,0.338888889
Endophilin-B2,0.078856038,0.111111111,1.34E-05,3.89E-05,0.4,6.83E-05,0.000125677,0.288888889
Carbonic anhydrase 2,0.078856038,8.222222222,0.001248843,0.002114626,3.55,0.000876545,0.002551232,-4.672222222
"Keratin, type I cytoskeletal 23",0.079638355,10.11111111,0.001481459,0.000929531,11.85,0.002369118,0.00202428,1.738888889
Alpha-crystallin B chain,0.079638355,2.888888889,0.000417186,0.000461193,3.25,0.000683596,0.000721028,0.361111111
Cathepsin B,0.080050875,2.111111111,0.000325924,0.000159354,2.45,0.000609154,0.000825671,0.338888889
Peroxiredoxin-6,0.080050875,6.333333333,0.000962504,0.000451616,3.85,0.000793685,0.000587685,-2.483333333
Immunoglobulin lambda-like polypeptide 5,0.080153874,12.44444444,0.001890312,0.000842554,16.05,0.003679151,0.002859715,3.605555556
Probable phosphoglycerate mutase 4,0.080153874,10.77777778,0.001630487,0.000485893,6.8,0.001380727,0.000762526,-3.977777778
Immunoglobulin heavy variable 3-7,0.080153874,5.222222222,0.000793068,0.000281691,5.65,0.001349975,0.000988586,0.427777778
Immunoglobulin heavy variable 3-23,0.080153874,4.777777778,0.000727119,0.000307489,4.85,0.001135431,0.000736412,0.072222222
Immunoglobulin heavy variable 3-13,0.080153874,4.888888889,0.000743384,0.00031139,4.85,0.001133421,0.000722904,-0.038888889
Immunoglobulin heavy variable 3-48,0.080153874,5.222222222,0.000793068,0.000281691,5.65,0.001349975,0.000988586,0.427777778
Immunoglobulin heavy variable 3-74,0.080153874,5.111111111,0.000776803,0.000280441,5.7,0.001364459,0.00101692,0.588888889
Glycodelin,0.083341188,1.111111111,0.000171155,0.000285308,4.7,0.001173698,0.002343927,3.588888889
Ras-related protein Rab-37,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-39B,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-3D,0.084120012,0.333333333,4.63E-05,6.78E-05,0.55,0.000124882,0.000164537,0.216666667
Ras-related protein Rab-3B,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-43,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-30,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-3A,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-3C,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-4B,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-39A,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-6B,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
Ras-related protein Rab-33B,0.084120012,0.333333333,4.63E-05,6.78E-05,0.5,0.000116359,0.000157196,0.166666667
CD59 glycoprotein,0.084637387,2.222222222,0.000329482,0.000247269,1.3,0.000257356,0.000260103,-0.922222222
40S ribosomal protein S6,0.086158175,3.333333333,0.000494958,0.000343641,1.85,0.000359246,0.000345556,-1.483333333
RalBP1-associated Eps domain-containing protein 1,0.087169474,0,0,0,0.1,2.14E-05,6.53E-05,0.1
Probable ATP-dependent RNA helicase DDX23,0.087169474,0,0,0,0.1,2.24E-05,6.81E-05,0.1
Mis18-binding protein 1,0.087169474,0,0,0,0.1,2.04E-05,6.30E-05,0.1
Neprilysin,0.087169474,0,0,0,0.1,2.31E-05,7.03E-05,0.1
Pleckstrin homology domain-containing family H member 2,0.087169474,0,0,0,0.1,2.41E-05,7.31E-05,0.1
Cytochrome P450 2A6,0.087169474,0,0,0,0.1,2.41E-05,7.31E-05,0.1
Calcium homeostasis modulator protein 5,0.087169474,0,0,0,0.1,3.92E-05,0.000143916,0.1
Voltage-dependent anion-selective channel protein 3,0.087169474,0,0,0,0.2,9.18E-05,0.000303007,0.2
NUT family member 1,0.087169474,0,0,0,0.1,4.07E-05,0.000145157,0.1
Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein,0.087169474,0,0,0,0.1,4.59E-05,0.000151535,0.1
Protein FAM32A,0.087169474,0,0,0,0.1,4.19E-05,0.00014631,0.1
Proteasome subunit beta type-4,0.087169474,0,0,0,0.3,7.57E-05,0.000254055,0.3
Meiosis inhibitor protein 1,0.087169474,0,0,0,0.1,2.49E-05,7.61E-05,0.1
ADP/ATP translocase 3,0.087169474,0,0,0,0.1,2.24E-05,6.98E-05,0.1
Tripeptidyl-peptidase 1,0.087169474,0,0,0,0.15,3.92E-05,0.000129026,0.15
MAX gene-associated protein,0.087169474,0,0,0,0.1,2.34E-05,7.22E-05,0.1
Epoxide hydrolase 1,0.087169474,0,0,0,0.1,3.05E-05,9.32E-05,0.1
